product_no, name 
302,S(90)
302,M(95)
302,L(100)
302,XL(105)
302,XXL(110)
303,M
303,L
303,XL
304,2XL
304,3XL
304,L
304,M
304,S
304,XL
305,2XL
305,L
305,M
305,S
305,XL
306,M
306,L
306,XL
307,95
307,100
308,M
308,L
308,XL
308,2XL
309,90
309,95
309,100
309,105
309,115
311,90
311,95
311,100
311,105
311,110
311,115
311,120
313,90(S)
313,95(M)
313,100(L)
313,105(XL)
313,110(XXL)
313,115(3XL)
316,ONE SIZE
316,one size
317,M
317,L
317,XL
317,2XL
319,M
319,L
319,XL
319,XXL
320,2XL
320,3XL
320,4XL
320,L
320,M
320,XL
321,M
321,L
321,XL
322,S
322,M
322,L
322,XL
322,2XL
322,3XL
323,0
323,1
323,2
324,3XL(115)
324,LG(100)
324,MD(95)
324,SM(90)
324,XL(105)
324,XXL(110)
325,85
325,90
325,95
325,100
325,105
325,110
325,115
326,140
326,150
326,160
326,라이트핑크536
326,민트그린352
327,2XL
327,L
327,M
327,S
327,XL
328,S
328,M
328,L
328,XL
330,M
330,L
330,XL
331,S(신장128-137cm)
331,M(신장137-146cm)
331,XL(신장156-166cm)
332,85
332,90
332,95
332,100
332,105
332,110
332,115
332,120
333,L
333,XL
333,2XL
334,85(S)
334,90(M)
334,95(L)
334,100(XL)
334,105(2XL)
334,110(3XL)
335,S
335,M
335,L
335,XL
335,2XL
335,3XL
336,85
336,90
336,95
336,100
336,105
336,110
337,상의만_2XL(110)
337,상의만_3XL(115)
337,상의만_L(100)
337,상의만_M(95)
337,상의만_S(90)
337,상의만_XL(105)
337,상의만_XS(85)
338,공용후드집업-그레이_2XL(105)
338,공용후드집업-그레이_3XL(110)
338,공용후드집업-그레이_4XL(115)
338,공용후드집업-그레이_5XL(120)
338,공용후드집업-그레이_L(95)
338,공용후드집업-그레이_XL(100)
338,공용후드집업-그레이_랜덤
338,공용후드집업-블랙_2XL(105)
338,공용후드집업-블랙_3XL(110)
338,공용후드집업-블랙_4XL(115)
338,공용후드집업-블랙_5XL(120)
338,공용후드집업-블랙_L(95)
338,공용후드집업-블랙_XL(100)
338,기모후드집업-그레이/XL(100)
338,기모후드집업-그레이_2XL(105)
338,기모후드집업-그레이_3XL(110)
338,기모후드집업-그레이_4XL(115)
338,기모후드집업-그레이_5XL(120)
338,기모후드집업-랜덤_2XL(105)
338,기모후드집업-블랙_2XL(105)
338,기모후드집업-블랙_3XL(110)
338,기모후드집업-블랙_4XL(115)
338,기모후드집업-블랙_5XL(120)
338,기모후드집업-블랙_L(95)
338,기모후드집업-블랙_XL(100)
339,3XL(115)
339,LG(100)
339,MD(95)
339,SM(90)
339,XL(105)
339,XXL(110)
340,M
340,L
340,XL
340,XXL
341,90(S)
341,95(M)
341,100(L)
341,105(XL)
343,M
343,L
343,XL
343,XXL
346,L(95)
346,M(90)
346,S(85)
346,XL(100)
347,S
347,M
347,L
347,XL
348,S
348,M
348,L
348,XL
348,XXL
349,90
349,95
349,100
349,105
349,110
349,115
349,120
350,L
350,XL
351,S(90)
351,M(95)
351,L(100)
351,XL(105)
351,2XL(110)
352,S
352,M
352,L
352,XL
352,XXL
353,S
353,M
353,L
354,2XL
354,L
354,M
354,S
355,Size1
355,Size2
356,95
356,100
356,105
356,110
356,115
357,M
357,L
357,XL
357,XXL
358,95
358,100
358,105
358,110
358,115
359,S(85)
359,M(90)
359,L(95)
359,XL(100)
359,2XL(105)
359,3XL(110)
360,S(90)
360,M(95)
360,L(100)
360,XL(105)
