title, price, delivery_price, img, category 
"필터포유 PM 0.3 블루 헤파 자동차 에어컨 히터 필터 제네시스 / 더뉴 그랜저 IG / 카니발 4세대 / 싼타페TM / LF쏘나타 / K5 JF 3p, 1개, CFUB002",14,850,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/06/20/15/0/9b8721b5-d5ae-4efb-a6d2-90c2cf6f713b.jpg,1
"지엠지모터스 락킵 극세사 겨울방석 3P 풀세트, 그레이, 1세트",23,050,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1246331734012574-d63069bc-d11a-49cb-a434-2784ad50b6b2.jpg,1
"하이글로씨 스팟 리무버 물때 제거제, 500ml, 1개",14,250,2000,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4953668750518787-afb04e5d-7049-4b36-b0fa-b42f3b135391.jpg,1
"베이직기어 차량용 태블릿 거치대 BG-CTM1, 1개, 혼합 색상",27,790,2000,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/603489663202691-d02ec04a-e4c2-4811-bc06-ca8fe434f4b8.jpg,1
"신지모루 맥세이프 송풍구형 차량용 고속 무선 충전 거치대 + C타입 케이블, 블랙, 1개",29,150,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/808672148670158-d55e93cc-aac2-49c6-9a00-8665bab07b63.jpg,1
"살림백서 라이스 앤 허브 차량용 디퓨저 80ml 2p + 우드볼스틱 2p 세트, 베이비파우더, 1세트",10,900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/07/24/16/1/f872b9e3-96be-47dd-a929-062025ee49ee.jpg,1
"돌비웨이 0.3um 초미세먼지 차단 자동차 에어컨 필터, 32호, 1개",24,900,2000,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1815199105097703-30507f2c-b4cd-4ab5-962f-6a793c018cd6.jpg,1
"스텔스 셀프 세차용품 11종 세트, 1세트",22,900,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/30471857035623-0eaa4430-243c-4b71-8b9b-5d94fd301529.jpg,1
"카슈아 차량용 맥세이프 LED 휴대폰 고속 무선 충전 거치대 CO-HD02, 블랙",39,900,2000,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qfsylnts/ef220621b083430fa6090434fcc9ff4c.jpg,1
"블랙팟 막아보카 성에방지커버 햇빛가리개",15,810,2000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/01/17/17/7/57ba657c-d36b-4c53-b340-2373d4710169.jpg,1
